Cặp_File,Thực_tế,Dự_đoán,Điểm_tương_đồng,Loại_Lỗi
submission103.py & submission106.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission124.py & submission125.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission120.py & submission121.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission142.py & submission144.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission100.py & submission101.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission122.py & submission126.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission137.py & submission139.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission114.py & submission116.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission145.py & submission146.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission102.py & submission104.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission142.py & submission146.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission118.py & submission119.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission134.py & submission136.py,0,1,0.6470588235294118,False Positive (Bắt oan)
submission142.py & submission154.py,1,0,0.5555555555555556,False Negative (Bỏ lọt)
submission1.py & submission2.py,1,0,0.6,False Negative (Bỏ lọt)
submission31.py & submission32.py,1,0,0.625,False Negative (Bỏ lọt)
submission2.py & submission4.py,1,0,0.6,False Negative (Bỏ lọt)
submission1.py & submission4.py,1,0,0.6,False Negative (Bỏ lọt)
submission129.py & submission130.py,1,0,0.5555555555555556,False Negative (Bỏ lọt)
submission47.py & submission49.py,1,0,0.625,False Negative (Bỏ lọt)
submission89.py & submission90.py,1,0,0.5294117647058824,False Negative (Bỏ lọt)
